alpha,Tamanho das Camadas Ocultas,Decaimento,Taxa de Apendizado,Momentum,Acurácia Validação,Acurácia Treino
1E-06,50,adaptive,0.005,0.7,0.973684210526316,0.984615384615385
1E-06,50,adaptive,0.005,0.8,0.973684210526316,0.984615384615385
1E-06,50,adaptive,0.01,0.8,0.973684210526316,0.984615384615385
1E-06,"(100, 50)",adaptive,0.005,0.6,0.973684210526316,0.984615384615385
1E-06,"(75, 100)",adaptive,0.01,0.1,0.973684210526316,0.984615384615385
1E-06,"(75, 100)",adaptive,0.01,0.4,0.973684210526316,0.984615384615385
1E-06,"(75, 75)",constant,0.005,0.8,0.973684210526316,0.984615384615385
1E-06,"(75, 50)",adaptive,0.005,0.7,0.973684210526316,0.984615384615385
1E-06,"(50, 100)",adaptive,0.01,0.6,0.973684210526316,0.984615384615385
1E-06,"(50, 50)",adaptive,0.005,0.7,0.973684210526316,0.984615384615385
1E-06,"(25, 75)",adaptive,0.0005,1,0.973684210526316,0.984615384615385
1E-06,"(25, 25)",constant,0.005,0.6,0.973684210526316,0.984615384615385
1E-07,100,adaptive,0.005,0.8,0.973684210526316,0.984615384615385
1E-07,"(75, 100)",adaptive,0.01,0.5,0.973684210526316,0.984615384615385
1E-07,"(50, 75)",constant,0.01,0.2,0.973684210526316,0.984615384615385
1E-07,"(50, 75)",invscaling,0.005,1,0.973684210526316,0.984615384615385
1E-07,"(25, 25)",constant,0.01,0.2,0.973684210526316,0.984615384615385
1E-07,"(25, 25)",adaptive,0.01,1,0.973684210526316,0.984615384615385
0,"(100, 100)",constant,0.005,0.6,0.973684210526316,0.984615384615385
0,"(100, 100)",constant,0.01,0.5,0.973684210526316,0.984615384615385
