grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.5,1,20,40,0.117523890461834,0.024000000000000004,0.003263153149779953,0.017281975195754296
"[10, 10]",0.5,1,40,10,0.15147326573421113,0.008,0.003336013144135863,0.006531972647421808
"[10, 10]",0.5,1,40,20,0.13359835468265313,0.026666666666666672,0.008208976749506082,0.016438437341250604
"[10, 10]",0.5,1,40,40,0.11009011956304808,0.021333333333333333,0.003961151981354272,0.019955506062794354
"[10, 10]",0.5,5,10,10,0.17596898169132077,0.0026666666666666666,0.0067670441071431015,0.0037712361663282535
"[10, 10]",0.5,5,10,20,0.12215380372993039,0.013333333333333334,0.005474810065582405,0.009977753031397177
"[10, 10]",0.5,5,10,40,0.11292917758041543,0.0026666666666666666,0.004254762541268582,0.0037712361663282535
"[10, 10]",0.5,5,20,10,0.3453396472912195,0.0026666666666666666,0.008016376153308118,0.0037712361663282535
"[10, 10]",0.5,5,20,20,0.14463674086923736,0.0,0.005418932826595085,0.0
"[10, 10]",0.5,5,20,40,0.10934937276078893,0.008,0.006724491389599288,0.01131370849898476
"[10, 10]",0.5,5,40,10,0.7385100043617489,0.0,0.0029528020933456915,0.0
"[10, 10]",0.5,5,40,20,0.28032553957416345,0.0026666666666666666,0.0017094360713167816,0.0037712361663282535
"[10, 10]",0.5,5,40,40,0.15233989858488892,0.0026666666666666666,0.0026747069177573005,0.0037712361663282535
"[10, 10]",0.5,10,10,10,0.21478985976161027,0.005333333333333333,0.008217560628693754,0.007542472332656507
"[10, 10]",0.5,10,10,20,0.13065631064631003,0.005333333333333333,0.004007567489258636,0.0037712361663282535
"[10, 10]",0.5,10,10,40,0.11936744525435534,0.013333333333333334,0.007352056427116894,0.018856180831641266
"[10, 10]",0.5,10,20,10,0.595718333866373,0.0,0.006864250855150106,0.0
"[10, 10]",0.5,10,20,20,0.17794265925463945,0.0,0.0017567518891704868,0.0
"[10, 10]",0.5,10,20,40,0.12586428905347913,0.008,0.005611026859069596,0.006531972647421808
"[10, 10]",0.5,10,40,10,1.0995327986829848,0.005333333333333333,0.004828413631302875,0.0037712361663282535
"[10, 10]",0.5,10,40,20,0.5769812100374985,0.008,0.014868227163708314,0.01131370849898476
"[10, 10]",0.5,10,40,40,0.3303607073784114,0.0,0.015147722640715238,0.0
